user,latitude,longitude,date,day_of_week,hour,categoria,timestamp
User_5407,-12.956774,-38.501897,2018-07-01,Wednesday,9,storage,1531313847135
User_3222,-22.861144,-47.045966,2018-07-02,Wednesday,10,electronics_store,1531314948342
User_1418,-12.914387,-38.335468,2018-07-02,Tuesday,22,park,1531273662999
User_747,-20.280877,-40.295293,2018-07-02,Monday,15,book_store,1530557478198
User_4535,-22.177903,-49.967874,2018-07-02,Monday,15,home_goods_store,1530556523406
User_799,-8.119446,-34.913219,2018-07-02,Monday,15,home_goods_store,1530557669594
User_2257,-18.583696,-49.202996,2018-07-02,Monday,16,store,1530560092261
User_2563,-25.413006,-49.228638,2018-07-02,Monday,15,jewelry_store,1530557603968
User_5645,-22.730066,-47.379038,2018-07-02,Monday,15,bus_station,1530557680039
User_3934,-11.417518,-40.300165,2018-07-02,Monday,16,bar,1530558124469
User_2524,-30.061836,-51.172099,2018-07-02,Monday,16,hospital,1530558956050
User_3794,-22.878045,-43.360413,2018-07-02,Monday,15,school,1530557375583
User_929,-23.594098,-46.616163,2018-07-02,Monday,15,grocery_or_supermarket,1530557624029
User_3442,-16.639588,-49.254962,2018-07-02,Monday,14,pet_store,1530554145423
User_3746,-15.794879,-48.128498,2018-07-02,Monday,16,lodging,1530559270642
User_4841,-19.340759,-42.156793,2018-07-02,Monday,9,bar,1530533131537
User_4676,-27.129261,-48.609129,2018-07-02,Monday,16,travel_agency,1530559233018
User_2256,-20.287309,-50.256175,2018-07-02,Sunday,22,restaurant,1530494965304
User_907,-9.602523,-35.755815,2018-07-02,Monday,2,store,1530507857936
User_2879,-29.763904,-57.086517,2018-07-02,Sunday,23,store,1530498426035
User_1387,-30.024185,-51.220688,2018-07-02,Monday,1,restaurant,1530505748458
User_1248,-22.92254,-43.616833,2018-07-02,Sunday,22,doctor,1530493413672
User_3140,-23.457751,-52.023693,2018-07-02,Monday,15,lodging,1530557057565
User_4773,-30.020846,-52.911504,2018-07-02,Monday,16,doctor,1530558816449
User_4225,-16.675223,-49.285465,2018-07-02,Monday,16,park,1530558847717
User_946,-23.433445,-51.88099,2018-07-02,Monday,16,restaurant,1530559076540
User_2061,-23.608879,-46.509895,2018-07-02,Monday,16,moving_company,1530559575692
User_2372,-23.178784,-45.847719,2018-07-14,Monday,16,store,1530560029795
User_274,-23.619438,-46.683494,2018-07-15,Monday,17,bar,1530561672247
User_726,-23.517519,-46.706459,2018-07-15,Monday,10,bar,1530538519934
User_3401,-3.81949,-38.495011,2018-07-15,Monday,6,courthouse,1530522939452
User_564,-20.354613,-40.390749,2018-07-15,Sunday,23,store,1530499855276
User_2520,-16.72462,-49.24099,2018-07-15,Monday,8,store,1530530727744
User_3168,-22.876121,-42.260849,2018-07-15,Monday,11,airport,1530542866253
User_19,-18.504456,-54.762593,2018-07-15,Sunday,11,local_government_office,1531670197449
User_4085,-15.915972,-48.06205,2018-07-15,Friday,21,shopping_mall,1531527257111
User_3989,-21.785182,-43.346633,2018-07-15,Sunday,12,cafe,1531669551035
User_638,-8.041199,-50.023213,2018-07-15,Friday,21,roofing_contractor,1531526989006
User_3088,-23.1705,-46.867959,2018-07-15,Sunday,12,restaurant,1531668022857
User_2040,-23.528835,-46.655598,2018-07-15,Sunday,7,plumber,1531649443194
User_3512,-22.854782,-47.201554,2018-07-15,Sunday,13,car_repair,1531672019967
User_2878,-25.46766,-49.190082,2018-07-15,Sunday,18,restaurant,1531688772470
User_673,-8.337488,-36.431768,2018-07-15,Sunday,18,school,1531691929902
User_3854,-7.033686,-34.834418,2018-07-15,Sunday,13,stadium,1531670805500
User_360,-20.907844,-47.570686,2018-07-15,Sunday,13,hospital,1531670923702
User_5364,-11.73037,-49.066708,2018-07-10,Sunday,13,car_repair,1531671912905
User_2105,-22.00426,-47.425749,2018-07-10,Sunday,13,restaurant,1531672032354
User_559,-23.636402,-46.609163,2018-07-10,Sunday,13,restaurant,1531672418652
User_2086,-23.503752,-47.115752,2018-07-10,Sunday,13,restaurant,1531672575119
User_4462,-12.889063,-38.312419,2018-07-10,Sunday,12,store,1531668760189
User_2023,0.039585,-51.069564,2018-07-10,Sunday,13,doctor,1531673294211
User_2983,-22.889742,-43.582296,2018-07-10,Sunday,11,storage,1531663294416
User_3228,-9.963026,-67.838936,2018-07-10,Sunday,15,book_store,1531688052561
User_2038,-5.795623,-35.189083,2018-07-10,Sunday,14,store,1531676745693
User_5262,-30.011883,-51.144627,2018-07-10,Sunday,18,car_repair,1531689010556
User_4535,-23.63129,-46.50259,2018-07-10,Sunday,18,roofing_contractor,1531689208529
User_4525,-22.482385,-42.204644,2018-07-10,Sunday,18,cafe,1531689654429
User_3030,-1.469016,-48.484927,2018-07-10,Sunday,18,airport,1531691525348
User_5630,-22.901336,-47.05256,2018-07-10,Saturday,20,park,1531612638926
User_2086,-22.874438,-43.445365,2018-07-10,Saturday,21,electronics_store,1531615056525
User_5026,-26.333954,-48.845368,2018-07-10,Saturday,21,store,1531615710685
User_1586,-15.822422,-48.112122,2018-07-10,Saturday,21,park,1531613838594
User_5613,-16.292089,-48.942581,2018-07-10,Tuesday,12,moving_company,1531236563034
User_4163,-22.922183,-43.187678,2018-07-10,Thursday,9,storage,1531397354444
User_1190,-23.165014,-46.913548,2018-07-15,Thursday,9,store,1531398955479
User_1173,-18.921346,-48.197849,2018-07-15,Thursday,9,store,1531399008901
User_2245,-21.301339,-50.360804,2018-07-14,Thursday,9,place_of_worship,1531399908937
User_5380,-22.761255,-43.402657,2018-07-15,Wednesday,16,bank,1531336765276
User_110,-4.283749,-41.775634,2018-07-15,Wednesday,20,parking,1531351690373
User_4936,-22.851385,-45.225079,2018-07-15,Wednesday,21,car_dealer,1531356253753
User_4768,-10.926856,-37.050273,2018-07-14,Thursday,8,restaurant,1531396111504
User_5532,-23.540219,-46.576618,2018-07-15,Wednesday,11,school,1531320556074
User_5251,-12.783659,-38.388959,2018-07-15,Thursday,8,restaurant,1531394774670
User_4227,-15.841451,-48.024564,2018-07-15,Thursday,9,bar,1531398151636
User_4080,-3.077856,-59.951995,2018-07-15,Wednesday,17,pharmacy,1531343122291
User_3620,-6.761475,-38.222094,2018-07-15,Thursday,1,furniture_store,1531368141950
User_2410,-23.54052,-46.260976,2018-07-15,Wednesday,14,store,1531330295113
User_772,-23.571009,-46.709478,2018-07-15,Wednesday,21,restaurant,1531355945755
User_4726,-19.888771,-44.017447,2018-07-15,Wednesday,21,restaurant,1531355047806
User_5103,-12.918989,-38.364387,2018-07-15,Thursday,15,place_of_worship,1531418970672
